StudentName,Marks,Attendance,Passing_in_CIE
Student1,16,95.24,Yes
Student2,15,90.48,Yes
Student3,15,83.34,Yes
Student4,17,100,Yes
Student5,19,97.62,Yes
Student6,10,78.58,Yes
Student7,10,83.34,Yes
Student8,80,90.48,Yes
Student9,14,90.48,Yes
Student10,11,85.72,Yes
Student11,0,85.72,No
Student12,6,90.48,No
Student13,7,76.2,No
Student14,11,95.24,Yes
Student15,8,88.1,No
Student16,8,85.72,No
Student17,13,97.62,Yes
Student18,10,92.86,Yes
Student19,15,69.05,No
Student20,12,83.34,Yes
Student21,14,92.86,Yes
Student22,8,95.24,No
Student23,8,92.86,No
Student24,11,83.34,Yes
Student25,10,88.1,Yes
Student26,9,85.72,No
Student27,0,69.05,No
Student28,0,69.05,No
Student29,12,95.24,Yes
Student30,11,78.58,Yes
Student31,10,95.24,Yes
Student32,6,73.81,No
Student33,10,100,Yes
Student34,11,83.34,Yes
Student35,6,92.86,No
Student36,10,80.96,Yes
Student37,16,90.48,Yes
Student38,9,30.96,No
Student39,13,78.58,Yes
Student40,4,66.67,No
Student41,12,80.96,Yes
Student42,7,73.81,No
Student43,11,71.43,Yes
Student44,13,83.34,Yes
Student45,160,100,Yes
Student46,8,88.1,No
Student47,12,83.34,Yes
Student48,7,45.24,No
Student49,10,88.1,Yes
Student50,13,90.48,Yes
Student51,4,83.34,No
Student52,0,9.53,No
Student53,8,95.24,No
Student54,11,85.72,Yes
Student55,5,80.96,No
Student56,8,95.24,No
Student57,6,42.86,No
Student58,4,73.81,No
Student59,16,97.62,Yes
Student60,0,66.67,No
Student61,14,97.62,Yes
Student62,6,87.5,No
Student63,8,87.18,No
