sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,internship_score,salary
1,M,58.53,Commerce,50.67,Others,86.03,Mkt&Fin,66.27,79.06,195000.0
2,F,51.85,Science,65.5,Comm&Mgmt,81.44,Mkt&HR,64.67,,457000.0
3,F,62.53,Science,69.46,Sci&Tech,45.23,Mkt&HR,59.83,77.6,321000.0
4,M,75.56,Commerce,65.71,Sci&Tech,68.86,Mkt&Fin,68.96,,385000.0
5,M,69.14,Arts,47.39,Comm&Mgmt,90.57,Mkt&Fin,55.51,,
6,M,54.54,Commerce,65.2,Sci&Tech,66.77,Mkt&Fin,65.7,,362000.0
7,M,,Commerce,54.26,Sci&Tech,83.59,Mkt&Fin,65.56,,183000.0
8,F,70.85,Arts,72.03,Comm&Mgmt,75.3,Mkt&Fin,60.14,,366000.0
9,F,58.16,Commerce,69.3,Comm&Mgmt,55.4,Mkt&HR,63.96,,285000.0
10,F,68.54,Science,57.54,Sci&Tech,97.92,Mkt&Fin,54.49,,326000.0
11,M,67.58,Commerce,61.38,Sci&Tech,79.61,Mkt&Fin,67.54,,
12,F,55.57,Commerce,56.47,Sci&Tech,94.32,Mkt&HR,60.89,,
13,F,70.58,Arts,65.44,Sci&Tech,55.34,Mkt&HR,58.86,,331000.0
14,M,72.61,Commerce,74.6,Comm&Mgmt,51.08,Mkt&HR,68.29,,193000.0
15,M,77.83,Science,57.13,Sci&Tech,83.81,Mkt&Fin,57.77,,
16,M,77.54,Commerce,70.54,Comm&Mgmt,82.37,Mkt&HR,53.55,80.0,166000.0
17,M,53.22,Commerce,61.23,Comm&Mgmt,71.59,Mkt&Fin,52.66,,
18,M,57.62,Commerce,58.86,Comm&Mgmt,86.14,Mkt&Fin,65.64,,174000.0
19,M,72.15,Science,65.04,Comm&Mgmt,64.47,Mkt&Fin,54.32,88.46,326000.0
20,M,,Commerce,56.68,Comm&Mgmt,50.63,Mkt&HR,72.53,,334000.0
21,F,72.15,Science,61.02,Comm&Mgmt,50.81,Mkt&Fin,49.51,,210000.0
22,M,105.53,Commerce,55.22,Sci&Tech,80.34,Mkt&Fin,72.18,,329000.0
23,M,72.71,Arts,83.68,Comm&Mgmt,50.87,Mkt&Fin,63.27,,
24,M,78.36,Commerce,66.32,Comm&Mgmt,92.0,Mkt&Fin,61.42,,
25,M,76.54,Science,59.7,Comm&Mgmt,81.36,Mkt&HR,58.73,88.25,189000.0
26,F,73.51,Science,67.93,,85.96,Mkt&HR,64.39,,
27,M,63.85,Science,64.99,Comm&Mgmt,92.23,Mkt&HR,61.77,,
28,M,74.59,Science,64.01,Comm&Mgmt,74.14,Mkt&Fin,68.62,67.93,155000.0
29,M,59.27,Science,71.53,Comm&Mgmt,61.39,Mkt&Fin,62.69,,277000.0
30,M,64.63,Science,72.82,Sci&Tech,50.21,Mkt&Fin,62.9,,245000.0
31,F,62.15,Commerce,61.23,Comm&Mgmt,76.86,Mkt&Fin,59.82,,
32,M,67.82,Commerce,60.82,Comm&Mgmt,55.97,Mkt&Fin,61.66,,
33,M,90.15,Arts,63.52,Comm&Mgmt,52.7,Mkt&HR,63.85,,239000.0
34,F,48.33,Science,,Sci&Tech,54.43,Mkt&Fin,51.74,,
35,F,73.86,Science,52.36,Comm&Mgmt,80.02,Mkt&Fin,53.91,91.8,
36,F,50.87,Commerce,78.3,Comm&Mgmt,67.56,Mkt&Fin,66.46,,
37,M,62.28,Commerce,80.8,,66.97,Mkt&Fin,63.03,,316000.0
38,M,77.89,Commerce,63.76,Comm&Mgmt,52.7,Mkt&Fin,60.9,73.21,157000.0
39,F,67.64,Science,,Comm&Mgmt,60.58,Mkt&HR,62.11,,350000.0
40,M,56.22,Commerce,68.8,Comm&Mgmt,83.1,Mkt&HR,64.09,,332000.0
41,M,59.85,Commerce,93.71,Comm&Mgmt,43.76,Mkt&HR,58.76,83.47,
42,M,73.8,Commerce,76.08,Comm&Mgmt,79.65,Mkt&Fin,57.33,72.09,
43,M,59.7,Commerce,64.85,Comm&Mgmt,89.16,Mkt&Fin,63.18,,
44,F,69.16,Science,57.4,Sci&Tech,78.96,Mkt&Fin,56.13,,
45,M,67.46,Commerce,51.54,Sci&Tech,57.41,Mkt&Fin,64.45,,302000.0
46,F,60.48,Science,67.83,Sci&Tech,77.34,Mkt&HR,51.78,,
47,M,88.44,Commerce,59.19,Others,58.04,Mkt&Fin,68.17,,
48,M,73.34,Commerce,53.2,Comm&Mgmt,65.84,Mkt&Fin,64.84,,
49,M,46.75,Commerce,60.18,Comm&Mgmt,73.56,Mkt&Fin,63.54,,334000.0
50,M,68.86,Commerce,56.27,Comm&Mgmt,74.01,Mkt&Fin,67.9,,
51,F,60.38,Commerce,81.18,Comm&Mgmt,80.53,Mkt&HR,71.99,,
52,F,75.52,Commerce,73.93,Sci&Tech,61.84,Mkt&Fin,68.09,,393000.0
53,F,59.07,Science,65.93,Comm&Mgmt,57.37,Mkt&Fin,50.95,,543000.0
54,F,65.85,Commerce,79.32,Others,89.39,Mkt&Fin,54.32,,384000.0
55,M,72.05,Science,66.7,Comm&Mgmt,77.25,Mkt&Fin,58.25,,293000.0
56,F,75.66,Science,58.25,Others,85.74,Mkt&HR,62.16,,387000.0
57,M,55.0,Science,79.71,Comm&Mgmt,86.28,Mkt&HR,65.11,,282000.0
58,M,63.65,Commerce,70.85,Comm&Mgmt,45.79,Mkt&HR,57.65,49.46,271000.0
59,M,62.25,Commerce,56.66,Comm&Mgmt,85.99,Mkt&HR,63.12,,
60,M,60.47,Commerce,64.29,Comm&Mgmt,71.03,Mkt&Fin,57.47,,464000.0
61,M,84.65,Commerce,58.12,Comm&Mgmt,91.26,Mkt&HR,58.33,,202000.0
62,M,71.05,Arts,53.55,,61.4,Mkt&Fin,53.56,,
63,F,54.39,Commerce,74.34,,99.22,Mkt&Fin,56.46,,
64,M,76.18,Commerce,83.18,,72.23,Mkt&HR,53.89,,164000.0
65,M,88.22,Science,53.41,Comm&Mgmt,63.7,Mkt&Fin,56.14,,305000.0
66,M,77.32,Science,71.07,Comm&Mgmt,82.14,Mkt&HR,68.32,98.44,129000.0
67,M,51.81,Science,60.14,Sci&Tech,57.86,Mkt&Fin,56.3,,
68,F,62.16,Commerce,61.62,Comm&Mgmt,49.02,Mkt&HR,77.79,,366000.0
69,M,79.67,Commerce,60.67,Comm&Mgmt,87.16,Mkt&HR,64.96,,218000.0
70,F,59.92,Science,58.22,Comm&Mgmt,80.45,Mkt&HR,63.11,,280000.0
